priority,score,business_name,industry,location,phone,address,rating,reviews,photos,website,reasons
HIGH,95,Joe's Coffee Coffee House,coffee shop,"Sandpoint, ID",(555) 657-4020,"8271 Main St, Sandpoint, ID",4.4,19,3,,Only 3 photos (needs 20+); Only 19 reviews (low social proof)
HIGH,90,Brew Haven Coffee House,coffee shop,"Sandpoint, ID",(555) 237-2010,"5705 Main St, Sandpoint, ID",4.5,39,5,,Only 5 photos (needs 20+); No website listed
HIGH,85,Espresso Express Bar,coffee shop,"Sandpoint, ID",(555) 932-9802,"6477 Main St, Sandpoint, ID",3.7,22,2,,Only 2 photos (needs 20+); Only 22 reviews (low social proof)
HIGH,85,Bean There Roasters,coffee shop,"Sandpoint, ID",(555) 858-6761,"969 Main St, Sandpoint, ID",3.8,9,3,,Only 3 photos (needs 20+); Only 9 reviews (low social proof)
HIGH,80,Bean There Coffee House,coffee shop,"Sandpoint, ID",(555) 902-2925,"783 Main St, Sandpoint, ID",4.1,28,3,https://www.beantherecoffeehouse.com,Only 3 photos (needs 20+); Only 28 reviews (low social proof)
HIGH,80,Morning Grind Roasters,coffee shop,"Sandpoint, ID",(555) 415-3439,"7071 Main St, Sandpoint, ID",4.4,29,7,https://www.morninggrindroasters.com,Only 7 photos (needs 20+); Only 29 reviews (low social proof)
HIGH,80,Joe's Coffee Roasters,coffee shop,"Sandpoint, ID",(555) 619-7282,"9757 Main St, Sandpoint, ID",4.0,13,8,https://www.joe'scoffeeroasters.com,Only 8 photos (needs 20+); Only 13 reviews (low social proof)
HIGH,75,Bean There Shop,coffee shop,"Sandpoint, ID",(555) 381-8227,"4221 Main St, Sandpoint, ID",4.7,34,2,,Only 2 photos (needs 20+); No website listed
HIGH,75,Espresso Express Shop,coffee shop,"Sandpoint, ID",(555) 489-4028,"9401 Main St, Sandpoint, ID",4.4,45,3,https://www.espressoexpressshop.com,Only 3 photos (needs 20+); Missing business hours
HIGH,75,Bean There Shop,coffee shop,"Sandpoint, ID",(555) 566-5671,"9918 Main St, Sandpoint, ID",4.5,38,2,,Only 2 photos (needs 20+); No website listed
