priority,score,business_name,industry,location,phone,address,rating,reviews,photos,website,reasons
HIGH,80,Movement Gym,gym,"Sandpoint, ID",(208) 263-9999,"103 S 3rd Ave, Sandpoint, ID 83864, USA",4.5,8,0,https://www.movementgym.com/,Only 0 photos (needs 20+); Only 8 reviews (low social proof)
HIGH,80,Alpine Elite Gymnastics,gym,"Sandpoint, ID",(208) 254-1173,"1313 Wright Wy, Sandpoint, ID 83864, USA",4.3,9,1,https://alpineelitegym.com/,Only 1 photos (needs 20+); Only 9 reviews (low social proof)
HIGH,80,Future Physique Pilates,gym,"Sandpoint, ID",(208) 610-2130,"416 Larkspur St Suite B, Ponderay, ID 83852, USA",5,5,7,http://futurephysiquepilates.com/,Only 7 photos (needs 20+); Only 5 reviews (low social proof)
HIGH,70,James E. Russell Sports Center,gym,"Sandpoint, ID",(208) 946-2063,"2016 Pine St, Sandpoint, ID 83864, USA",3.3,9,2,https://www.sandpointidaho.gov/parks-and-recreation/page/james-e-russell-sports-center,Only 2 photos (needs 20+); Only 9 reviews (low social proof)
HIGH,60,The Shed,gym,"Sandpoint, ID",,"1223 Michigan St E, Sandpoint, ID 83864, USA",5,1,1,http://www.theshedatsandpoint.com/,Only 1 photos (needs 20+); Only 1 reviews (low social proof)
HIGH,60,KR Physical Fitness,gym,"Sandpoint, ID",(208) 610-3447,"1103 W Superior, Sandpoint, ID 83864, USA",5,37,4,http://krphysicalfitness.com/,Only 4 photos (needs 20+); Established business (has reviews)
HIGH,60,Xhale Pilates Studio,gym,"Sandpoint, ID",(208) 755-2687,"225 Cedar St, Sandpoint, ID 83864, USA",5,4,0,https://www.xhalepilatesstudio.com/,Only 0 photos (needs 20+); Only 4 reviews (low social proof)
MEDIUM,50,Unique Fitness (UFIT),gym,"Sandpoint, ID",(208) 627-6079,"1007 W Superior, Sandpoint, ID 83864, USA",4.8,25,10,http://www.uniquefitnesssandpoint.com/,Only 25 reviews (low social proof); Established business (has reviews)
MEDIUM,50,The Yellow Room,gym,"Sandpoint, ID",(208) 738-3864,"102 Euclid Ave Second Floor, Sandpoint, ID 83864, USA",5,10,10,http://www.yellowroom.org/,Only 10 reviews (low social proof); Established business (has reviews)
MEDIUM,50,7B Energy Wellness Center,gym,"Sandpoint, ID",(208) 255-5922,"30410 ID-200 ste 200A, Ponderay, ID 83852, USA",5,11,10,http://7benergywellness.com/,Only 11 reviews (low social proof); Established business (has reviews)
MEDIUM,45,Sandpoint Rock Gym,gym,"Sandpoint, ID",(208) 278-6199,"522 Church St, Sandpoint, ID 83864, USA",5,4,10,http://www.sandpointrockgym.com/,Only 4 reviews (low social proof); Missing business hours
MEDIUM,40,Natural Fitness - Ponderay,gym,"Sandpoint, ID",(208) 263-0676,"400 Schweitzer Plaza Dr #6, Ponderay, ID 83852, USA",4.7,81,5,http://www.naturalfitnessgym.com/,Only 5 photos (needs 20+); Good rating (cares about reputation)
LOW,30,Missi Balison Fitness,gym,"Sandpoint, ID",(208) 290-2081,"1250 Gooby Rd, Sandpoint, ID 83864, USA",5,37,10,http://www.missibalisonfitness.com/,Established business (has reviews); Good rating (cares about reputation)
LOW,30,BarreX Fitness and Dance,gym,"Sandpoint, ID",(208) 946-7861,"229 Pine St, Sandpoint, ID 83864, USA",5,1,10,https://barrexfitness.com/,Only 1 reviews (low social proof); Good rating (cares about reputation)
LOW,30,Sandpoint Hot Yoga,gym,"Sandpoint, ID",(208) 946-7646,"1243 Michigan St, Sandpoint, ID 83864, USA",5,38,10,http://www.sandpointhotyoga.com/,Established business (has reviews); Good rating (cares about reputation)
HIGH,95,Sand Creek Salon,salon,"Sandpoint, ID",(208) 255-7897,"214 N S 1st Ave B, Sandpoint, ID 83864, USA",4.8,26,0,,Only 0 photos (needs 20+); Only 26 reviews (low social proof)
HIGH,95,Paris Hair Designs,salon,"Sandpoint, ID",(208) 263-7283,"810 Ebbett Way, Sandpoint, ID 83864, USA",4.9,20,2,,Only 2 photos (needs 20+); Only 20 reviews (low social proof)
HIGH,95,Headlines Salon,salon,"Sandpoint, ID",(208) 263-7831,"223 Cedar St, Sandpoint, ID 83864, USA",4.9,10,2,,Only 2 photos (needs 20+); Only 10 reviews (low social proof)
HIGH,80,be.You.tiful Salon,salon,"Sandpoint, ID",(208) 217-4149,"1319 US-2, Sandpoint, ID 83864, USA",4.6,11,10,,Only 11 reviews (low social proof); No website listed
HIGH,80,Cathy's Corner Hair Salon,salon,"Sandpoint, ID",(208) 290-4988,"121 S 2nd Ave, Sandpoint, ID 83864, USA",4.6,29,10,,Only 29 reviews (low social proof); No website listed
HIGH,75,Salon Luxe,salon,"Sandpoint, ID",(208) 255-5893,"111A Main St, Sandpoint, ID 83864, USA",4.6,47,1,,Only 1 photos (needs 20+); No website listed
HIGH,75,Belleza Design,salon,"Sandpoint, ID",(208) 263-9490,"324 S Florence Ave, Sandpoint, ID 83864, USA",4.9,43,4,,Only 4 photos (needs 20+); No website listed
HIGH,75,Sunflower Day Spa & Tanning,salon,"Sandpoint, ID",(208) 660-4913,"819 US-2 #105, Sandpoint, ID 83864, USA",4.7,35,0,,Only 0 photos (needs 20+); No website listed
HIGH,65,Syringa Salon,salon,"Sandpoint, ID",(208) 610-2459,"502 Cedar St suite b, Sandpoint, ID 83864, USA",3.9,39,2,http://syringasalon.com/,Only 2 photos (needs 20+); Missing business hours
MEDIUM,50,Revival Salon,salon,"Sandpoint, ID",(602) 614-9200,"1807 Culvers Dr, Sandpoint, ID 83864, USA",5,23,10,https://www.revivalsalonsandpoint.com/,Only 23 reviews (low social proof); Established business (has reviews)
LOW,30,Fifth Element Hair Studio,salon,"Sandpoint, ID",(208) 304-4346,"334 N 1st Ave #204A, Sandpoint, ID 83864, USA",5,44,10,http://www.fifthelementhairstudio.com/,Established business (has reviews); Good rating (cares about reputation)
LOW,30,Align Holistic Hair & Wellbeing,salon,"Sandpoint, ID",(208) 255-6998,"102 Euclid Ave Suite 213, Sandpoint, ID 83864, USA",5,31,10,http://align.glossgenius.com/,Established business (has reviews); Good rating (cares about reputation)
LOW,25,Breezy's Salon,salon,"Sandpoint, ID",(208) 265-9181,"1801 Culvers Dr Unit 1, Sandpoint, ID 83864, USA",4.9,54,10,,No website listed; Good rating (cares about reputation)
